ParkID,Name,Official,StreetNumber,StreetName,EWStreet,NSStreet,GoogleMapDest,Hectare,NeighbourhoodName,NeighbourhoodURL,Advisories,Facilities,SpecialFeatures,Washrooms
115,Point Grey Park Site at Trutch Street,1,3215,Point Grey Road,Point Grey Road,Trutch Street,"49.271658,-123.176170",0.22,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,N,N,N
116,Point Grey Park Site at Stephens Street,0,2699,Point Grey Road,Point Grey Road,Stephens Street,"49.272583,-123.166128",0.23,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,N,N,N
117,Point Grey Park Site at Trafalgar Street,0,2601,Point Grey Road,Point Grey Road,Trafalgar Street,"49.273329,-123.164637",0.22,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,N,N,N
118,Seaforth Peace Park,1,1620,Chestnut Street,Cornwall Avenue,Chestnut Street,"49.271554,-123.145967",0.74,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,N,N,N
119,Tatlow Park,1,2845,W 3rd Avenue,Point Grey Road,Point Grey Road,"49.270068,-123.169609",1.4,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,Y,N,Y
120,Vanier Park,1,1000,Chestnut Street,Whyte Avenue,Chestnut Street,"49.277049,-123.143159",16.95,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,N,Y,Y
121,Volunteer Park,1,2855,Point Grey Road,Point Grey Road,Macdonald Street,"49.271635,-123.169243",0.72,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,N,N,N
122,Ash Park,1,8288,Ash Street,W 68th Avenue,Ash Street,"49.210597,-123.119435",0.51,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,N
123,Eburne Park,1,950,W 71st Avenue,W 71st Avenue,Oak Street,"49.206517,-123.129241",0.9,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,N
124,Marpole Park,1,1410,W 72nd Avenue,W 72nd Avenue,Cartier Street,"49.205507,-123.138307",0.27,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,N
126,Oak Park,1,900,W 59th Avenue,W 59th Avenue,Oak Street,"49.215497,-123.128319",5.25,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,Y
127,Riverview Park,1,1751,W 66th Avenue,W 66th Avenue,Angus Drive,"49.212238,-123.147342",2.38,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,N
128,Shannon Park,1,1575,W 62nd Avenue,W 62nd Avenue,Adera Street,"49.215457,-123.142529",0.94,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,N
130,William Mackie Park,1,1592,W 71st Avenue,W 71st Avenue,SW Marine Drive,"49.206787,-123.142733",0.37,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,N
131,Winona Park,1,7575,Columbia Street,W 59th Avenue,Columbia Street,"49.215431,-123.114024",5.31,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,Y
133,China Creek North Park,1,1001,E 7th Avenue,E 7th Avenue,Glen Drive,"49.264901,-123.083355",3.16,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
134,China Creek South Park,1,1255,E 10th Avenue,E 10th Avenue,Clark Drive,"49.261581,-123.079352",1.47,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
136,Guelph Park,1,2390,Brunswick Street,E 7th Avenue,Brunswick Street,"49.263965,-123.095837",1.04,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
137,Jonathan Rogers Park,1,110,W 7th Avenue,W 7th Avenue,Manitoba Street,"49.264334,-123.108174",1.4,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,Y
138,Major Matthews Park,1,2627,Manitoba Street,W 11th Avenue,Manitoba Street,"49.261580,-123.107238",0.06,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
139,Mount Pleasant Park,1,3161,Ontario Street,W 16th Avenue,Ontario Street,"49.256960,-123.106743",1.12,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
140,Robson Park,1,599,Kingsway,Kingsway,St. George Street,"49.258229,-123.091798",1.56,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,Y
141,Tea Swamp Park,1,266,E 15th Avenue,E 15th Avenue,Sophia Street,"49.257091,-123.098595",0.09,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
142,Cambie Park,1,500,W 54th Avenue,W 54th Avenue,Cambie Street,"49.221411,-123.117988",0.93,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,N,N,N
143,Columbia Park,1,5908,Alberta Street,W 42nd Avenue,Alberta Street,"49.231521,-123.111978",2.78,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,Y,N,Y
145,Langara Golf Course,1,6706,Alberta Street,W 49th Avenue,Alberta Street,"49.221371,-123.112110",48.57,South Cambie,http://vancouver.ca/community_profiles/south_cambie/index.htm,N,Y,N,N
146,Montgomery Park,1,1040,W 43rd Avenue,W 43rd Avenue,Montgomery Street,"49.231291,-123.130776",4.02,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,Y,N,Y
147,Tisdall Park,1,6210,Tisdall Street,W 49th Avenue,Tisdall Street,"49.227725,-123.119693",5.02,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,Y,Y,N
148,Beaconsfield Park,1,3215,Slocan Street,E 15th Avenue,Slocan Street,"49.255546,-123.051302",4.43,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
149,Cariboo Park,1,3450,E 29th Avenue,E 29th Avenue,Cariboo Street,"49.244232,-123.028792",0.77,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
150,Carleton Park,1,3450,Price Street,Price Street,Joyce Street,"49.242002,-123.030451",0.68,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,Y,Y,N,N
151,Collingwood Park,1,5275,McKinnon Street,Euclid Street,McKinnon Street,"49.237066,-123.036887",1.27,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
152,Earles Park,1,2801,E 41st Avenue,E 41st Avenue,Earles Street,"49.233476,-123.047702",1.59,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
153,Falaise Park,1,3434,Falaise Avenue,Worthington Drive,Falaise Avenue,"49.256485,-123.031631",7.57,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
154,Foster Park,1,5501,Aberdeen Street,Foster Avenue,Aberdeen Street,"49.234046,-123.028741",0.29,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
155,Gaston Park,1,3470,Crowley Drive,Crowley Drive,Tyne Street,"49.236117,-123.031094",1.5,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
156,Melbourne Park,1,3530,Vanness Avenue,Vanness Avenue,Melbourne Street,"49.236236,-123.029179",0.49,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
157,Norquay Park,1,5050,Wales Street,Kingsway,Wales Street,"49.237098,-123.051061",2.26,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
158,Price Park,1,3650,Price Street,Price Street,Boundary Road,"49.251572,-123.097564",0.35,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
159,Renfrew Community Park,1,2929,E 22nd Avenue,E 22nd Avenue,Renfrew Street,"49.252129,-123.042896",5,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
160,Renfrew Ravine Park,1,3900,Renfrew Street,E 24th Avenue,Renfrew Street,"49.247166,-123.044111",5.89,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,N,N,N
161,Slocan Park,1,2750,E 29th Avenue,E 29th Avenue,Slocan Street,"49.243921,-123.047574",4.14,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
162,Cartier Park,1,390,E 36th Avenue,E 36th Avenue,Prince Edward Street,"49.237598,-123.097473",0.37,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,N
163,Grimmett Park,1,169,E 19th Avenue,E 19th Avenue,Quebec Street,"49.253954,-123.102003",0.24,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,N,N,N
164,Hillcrest Park,1,4501,Clancy Loranger Way,Midlothian Avenue,Clancy Loranger Way,"49.244734,-123.108417",7.51,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,N
165,Nat Bailey Stadium,1,4601,Ontario Street,W 30th Avenue,Ontario Street,"49.242653,-123.106679",6.21,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,N
166,Prince Edward Park,1,3773,Prince Edward Street,E 21st Avenue,Prince Edward Street,"49.244397,-123.156429",1.21,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,Y
167,Queen Elizabeth Park,1,4600,Cambie Street,W 29th Avenue,Cambie Street,"49.240978,-123.112028",52.98,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,Y
168,Riley Park,1,50,E 30th Avenue,E 30th Avenue,Ontario Street,"49.241987,-123.104361",2.7,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,N
169,Angus Park,1,3600,Angus Drive,Alexandra Street,Angus Drive,"49.253932,-123.143816",1,Shaughnessy,http://vancouver.ca/community_profiles/shaughnessy/index.htm,N,N,N,N
170,Devonshire Park,1,1250,Devonshire Crescent,Devonshire Crescent,Selkirk Street,"49.245020,-123.133640",1.53,Shaughnessy,http://vancouver.ca/community_profiles/shaughnessy/index.htm,N,N,N,N
171,Kerrisdale Park,1,5670,E Boulevard,W 39th Avenue,East Boulevard,"49.235725,-123.152674",2.99,Shaughnessy,http://vancouver.ca/community_profiles/shaughnessy/index.htm,N,Y,N,N
172,Shaughnessy Park,1,1300,The Crescent,The Crescent,Hudson Street,"49.255715,-123.135068",1.45,Shaughnessy,http://vancouver.ca/community_profiles/shaughnessy/index.htm,N,N,N,N
173,VanDusen Botanical Gardens,1,5251,Oak Street,W 37th Avenue,Oak Street,"49.239181,-123.131293",22.29,Shaughnessy,http://vancouver.ca/community_profiles/shaughnessy/index.htm,N,Y,N,Y
174,Braemar Park,1,895,W 27th Avenue,W 27th Avenue,Willow Street,"49.247615,-123.123630",1.26,South Cambie,http://vancouver.ca/community_profiles/south_cambie/index.htm,N,Y,N,Y
175,Douglas Park,1,801,W 22nd Avenue,W 22nd Avenue,Heather Street,"49.252493,-123.122225",5.32,South Cambie,http://vancouver.ca/community_profiles/south_cambie/index.htm,N,Y,N,N
177,Heather Park,1,702,W 18th Avenue,W 18th Avenue,Heather Street,"49.254765,-123.121103",0.98,South Cambie,http://vancouver.ca/community_profiles/south_cambie/index.htm,N,Y,N,N
179,MacLean Park,1,710,Keefer Street,Keefer Street,Heatley Avenue,"49.278838,-123.088396",1.21,Strathcona,http://vancouver.ca/community_profiles/strathcona/index.htm,N,Y,N,Y
180,Oppenheimer Park,1,400,Powell Street,Powell Street,Jackson Street,"49.282645,-123.094313",1,Strathcona,http://vancouver.ca/community_profiles/strathcona/index.htm,N,Y,Y,Y
181,Strathcona Park,1,857,Malkin Avenue,Malkin Avenue,Hawks Avenue,"49.275276,-123.084674",10.07,Strathcona,http://vancouver.ca/community_profiles/strathcona/index.htm,N,Y,N,Y
182,Strathcona Linear Park,1,787,Prior Street,Prior Street,Hawks Avenue,"49.276983,-123.087485",0.3,Strathcona,http://vancouver.ca/community_profiles/strathcona/index.htm,N,Y,N,N
183,Thornton Park,1,1166,Main Street,Terminal Avenue,Main Street,"49.273946,-123.099212",1.49,Strathcona,http://vancouver.ca/community_profiles/strathcona/index.htm,N,N,N,N
184,George Park,1,500,E 63rd Avenue,E 63rd Avenue,St. George Street,"49.212608,-123.094228",1.43,Sunset,http://vancouver.ca/community_profiles/sunset/index.htm,N,Y,N,N
185,MacDonald Park,1,300,E 44th Avenue,E 44th Avenue,Prince Edward Street,"49.229748,-123.098396",1.05,Sunset,http://vancouver.ca/community_profiles/sunset/index.htm,N,Y,N,N
186,Memorial South Park,1,5955,Ross Street,E 41st Avenue,Ross Street,"49.230901,-123.085138",13.59,Sunset,http://vancouver.ca/community_profiles/sunset/index.htm,N,Y,N,Y
187,Moberly Park,1,7646,Prince Albert Street,E 59th Avenue,Prince Albert Street,"49.215602,-123.086219",3.6,Sunset,http://vancouver.ca/community_profiles/sunset/index.htm,N,Y,N,Y
188,Ross Park,1,7402,Ross Street,E 59th Avenue,Ross Street,"49.217276,-123.082351",1.51,Sunset,http://vancouver.ca/community_profiles/sunset/index.htm,N,Y,N,Y
189,Sunset Park,1,404,E 51st Avenue,E 51st Avenue,Prince Edward Street,"49.222561,-123.096916",3.42,Sunset,http://vancouver.ca/community_profiles/sunset/index.htm,N,Y,N,N
191,Bobolink Park,1,2510,Hoylake Avenue,Hoylake Avenue,Muirfield Drive,"49.215075,-123.057615",3.82,Victoria-Fraserview,http://vancouver.ca/community_profiles/victoria-fraserview/index.htm,N,Y,N,Y
192,Fraserview Park,1,7595,Victoria Drive,E 61st Avenue,Victoria Drive,"49.215398,-123.067572",1.27,Victoria-Fraserview,http://vancouver.ca/community_profiles/victoria-fraserview/index.htm,N,Y,Y,N
193,Gladstone-Riverside Park,1,2500,E Kent Street S,E Kent Street S,Nanaimo Street,"49.205532,-123.056883",1.07,Victoria-Fraserview,http://vancouver.ca/community_profiles/victoria-fraserview/index.htm,N,N,N,N
194,Gordon Park,1,6675,Commercial Street,E 49th Avenue,Commercial Street,"49.223380,-123.070491",6.51,Victoria-Fraserview,http://vancouver.ca/community_profiles/victoria-fraserview/index.htm,N,Y,N,Y
195,Humm Park,1,7250,Humm Street,Upland Drive,Humm Street,"49.218698,-123.063266",0.47,Victoria-Fraserview,http://vancouver.ca/community_profiles/victoria-fraserview/index.htm,N,Y,N,N
196,Nanaimo Park,1,2390,E 46th Avenue,E 46th Avenue,Nanaimo Street,"49.227724,-123.057508",2.91,Victoria-Fraserview,http://vancouver.ca/community_profiles/victoria-fraserview/index.htm,N,Y,N,Y
197,Riverfront Park,1,2750,E Kent Street S,E Kent Street S,Elliott Street,"49.205951,-123.045750",4.01,Killarney,http://vancouver.ca/community_profiles/killarney/index.htm,N,Y,N,Y
198,Tecumseh Park,1,1751,E 45th Avenue,E 45th Avenue,Bruce Street,"49.229752,-123.069846",2.09,Victoria-Fraserview,http://vancouver.ca/community_profiles/victoria-fraserview/index.htm,N,Y,N,N
199,Alexandra Park,1,1755,Beach Avenue,Beach Avenue,Bidwell Street,"49.285460,-123.142230",0.55,West End,http://vancouver.ca/community_profiles/west_end/index.htm,N,N,N,N
200,Barclay Heritage Square,1,1433,Barclay Street,Barclay Street,Nicola Street,"49.287180,-123.132167",0.56,West End,http://vancouver.ca/community_profiles/west_end/index.htm,N,N,N,Y
201,English Bay Beach Park,1,1700,Beach Avenue,Beach Avenue,Bidwell Street,"49.287118,-123.143317",9.83,West End,http://vancouver.ca/community_profiles/west_end/index.htm,N,Y,Y,Y
202,Morton Park,1,1800,Morton Avenue,Morton Avenue,Denman Street,"49.287680,-123.141955",0.22,West End,http://vancouver.ca/community_profiles/west_end/index.htm,N,N,N,N
203,Nelson Park,1,1030,Bute Street,Nelson Street,Bute Street,"49.282855,-123.129558",1.16,West End,http://vancouver.ca/community_profiles/west_end/index.htm,N,Y,N,N
204,Rosemont Park,0,3101,Rosemont Drive,Rosemont Drive,Kerr Street,"49.215746,-123.040816",1.36,Killarney,http://vancouver.ca/community_profiles/killarney/index.htm,N,N,N,N
206,Stanley Park,1,2000,W Georgia Street,W Georgia Street,Chilco Street,"49.302701,-123.144307",400,West End,http://vancouver.ca/community_profiles/west_end/index.htm,N,Y,Y,Y
207,Sunset Beach Park,1,1204,Beach Avenue,Beach Avenue,Bute Street,"49.281211,-123.139681",3.61,West End,http://vancouver.ca/community_profiles/west_end/index.htm,N,Y,Y,Y
208,Rosemary Brown Park,0,,W 11th Avenue & Vine Street (2299 Redbud Lane),W 11th Avenue,Vine Street,"49.261821,-123.157388",0.12,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,N,N,N
209,Langara Park,0,,W 49th Avenue & Columbia Street,W 49th Avenue,Columbia Street,"49.225093,-123.111506",1.21,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,N,N,N
212,Sahalli Park,0,,E 7th Avenue & Fraser Street,E 7th Avenue,Fraser Street,"49.263885,-123.089121",0.06,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,N,N,N
213,Park Site on Shaughnessy Street,0,,Shaughnessy Street & Fraser River,Shaughnessy Street, ,"49.202224,-123.125036",0.56,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,N,N,N
217,Hastings Mill Park,1,1575,Alma Street,Point Grey Road,Alma Street,"49.272790,-123.186689",1.23,West Point Grey,http://vancouver.ca/community_profiles/west_point_grey/index.htm,N,Y,N,N
218,Jericho Beach Park,1,3941,Point Grey Road,Point Grey Road,Wallace Street,"49.271513,-123.197415",46.71,West Point Grey,http://vancouver.ca/community_profiles/west_point_grey/index.htm,N,Y,N,Y
219,Locarno Park,1,4445,NW Marine Drive,NW Marine Drive,Trimble Street,"49.273015,-123.207284",19,West Point Grey,http://vancouver.ca/community_profiles/west_point_grey/index.htm,N,Y,N,Y
220,Spanish Banks Beach Park,1,4801,NW Marine Drive,NW Marine Drive,Blanca Street,"49.277063,-123.216909",6.53,West Point Grey,http://vancouver.ca/community_profiles/west_point_grey/index.htm,N,Y,Y,Y
221,West Point Grey Park,1,2250,Trimble Street,W 8th Avenue,Trimble Street,"49.266301,-123.204312",3.4,West Point Grey,http://vancouver.ca/community_profiles/west_point_grey/index.htm,N,Y,N,Y
222,Westmount Park,1,4651,W 2nd Avenue,W 2nd Avenue,Blanca Street,"49.271852,-123.214423",0.4,West Point Grey,http://vancouver.ca/community_profiles/west_point_grey/index.htm,N,Y,N,N
224,Choklit Park,1,,W 7th Avenue & Spruce Street,W 7th Avenue,Spruce Street,"49.265482,-123.128905",0.07,Fairview,http://vancouver.ca/community_profiles/fairview/index.htm,N,Y,N,N
225,George Wainborn Park,1,450,Beach Crescent,Beach Crescent, ,"49.272541,-123.129311",2.49,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,N,Y,N
228,Oak Meadows Park,0,899,W 37th Avenue,W 37th Avenue,Oak Street,"49.238445,-123.125795",5,South Cambie,http://vancouver.ca/community_profiles/south_cambie/index.htm,N,Y,Y,N
231,Camosun,0,4102,W 16th Avenue,W 16th Avenue,Discovery Street,"49.257423,-123.201329",0,Dunbar-Southlands,http://vancouver.ca/community_profiles/dunbar-southlands/index.htm,N,N,N,N
233,Arbutus Greenway Park,1,,W11th Avenue between Vine St. and Arbutus St.,W 11th Avenue,Arbutus Street,"49.262283,-123.154927",1.08,Kitsilano,http://vancouver.ca/community_profiles/kitsilano/index.htm,N,N,N,N
234,Aberdeen Park,1,3525,Foster Avenue,Foster Avenue,Aberdeen Street,"49.234765,-123.027446",1,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
235,Granville Island Water Park,0,,"False Creek Community Centre, Granville Island",,,"49.269550,-123.135064",0,Fairview,http://vancouver.ca/community_profiles/fairview/index.htm,N,Y,N,N
236,Ebisu Park,0,8810,Olser Street,W 72nd Avenue,Olser Street,"49.205468,-123.132836",0.4,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,Y,N,N
237,Yaletown Park,1,901,Mainland Street,Mainland Street,Nelson Street,"49.277042,-123.118921",0.17,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,N,N,N
238,Carolina Park,1,2100,Carolina Street,E 5th Avenue,Carolina Street,"49.266401,-123.090778",0.08,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,N,N,N
240,Park Site at Southe East False Creek,0,215,W 1st Avenue,W 1st Avenue,Columbia Street,"49.270869,-123.110533",0.95,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
241,Habitat Island,0,,South East False Creek,,,"49.272210,-123.110791",0.6,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,N,N,N
244,Fraser River Trail,1,,Hudson Street on the Fraser River,SW Marine Drive,Hudson Street,"49.200357,-123.135862",0.35,Marpole,http://vancouver.ca/community_profiles/marpole/index.htm,N,N,N,N
245,Trillium Park Site,0,,National Avenue & Thornton Street,National Avenue,Thornton Street,"49.275015,-123.093116",3.05,Strathcona,http://vancouver.ca/community_profiles/strathcona/index.htm,N,Y,N,Y
