ParkID,FacilityCount,FacilityType,FacilityURL
1,1,Playgrounds,
2,1,Field Houses,
2,1,Playgrounds,
2,2,Softball,
2,3,Baseball Diamonds,
2,1,Football Fields,
2,1,Soccer Fields,
3,1,Soccer Fields,
3,1,Jogging Trails,
6,2,Baseball Diamonds,
6,1,Field Houses,
6,1,Playgrounds,
6,2,Soccer Fields,
6,1,Dogs Off-Leash Areas,
6,1,Disc Golf Courses,
6,1,Jogging Trails,
6,1,Skateboard Parks,
8,1,Baseball Diamonds,
8,1,Cricket Pitches,
8,1,Field Houses,
8,1,Playgrounds,
8,2,Soccer Fields,
8,2,Softball,
8,1,Ultimate Fields,
10,1,Field Houses,
10,2,Field Hockey,
10,3,Playgrounds,
10,1,Softball,
10,1,Football Fields,
10,1,Lighted Fields,
10,2,Soccer Fields,
10,2,Tennis Courts,
10,1,Basketball Courts,
10,1,Skateboard Parks,
10,2,Ultimate Fields,
13,1,Community Halls,
14,1,Skateboard Parks,
14,1,Playgrounds,
14,1,Basketball Courts,
14,1,Dogs Off-Leash Areas,
15,1,Playgrounds,
16,1,Playgrounds,
16,1,Soccer Fields,
16,2,Basketball Courts,
16,2,Tennis Courts,
18,1,Dogs Off-Leash Areas,
20,1,Dogs Off-Leash Areas,
20,1,Playgrounds,
21,1,Water/Spray Parks,
21,1,Restaurants,
28,1,Field Houses,
28,2,Playgrounds,
28,1,Water/Spray Parks,
28,1,Dogs Off-Leash Areas,
29,1,Community Centres,
34,1,Playgrounds,
34,1,Softball,
34,1,Wading Pool,
34,1,Lighted Fields,
34,1,Rugby Fields,
34,1,Running Tracks,
34,1,Dogs Off-Leash Areas,
34,1,Ultimate Fields,
37,1,Field Houses,
37,2,Soccer Fields,
37,2,Baseball Diamonds,
37,1,Playgrounds,
37,1,Water/Spray Parks,
39,2,Baseball Diamonds,
39,1,Bowling Greens,
39,1,Community Centres,
39,1,Field Houses,
39,1,Playgrounds,
39,1,Soccer Fields,
39,6,Tennis Courts,
39,1,Basketball Courts,
40,2,Soccer Fields,
40,1,Dogs Off-Leash Areas,
42,1,Dogs Off-Leash Areas,
43,1,Soccer Fields,
43,5,Tennis Courts,
43,2,Playgrounds,
43,1,Dogs Off-Leash Areas,
44,1,Field Houses,
44,4,Tennis Courts,
44,2,Bowling Greens,
44,1,Playgrounds,
45,2,Tennis Courts,
45,1,Playgrounds,
47,1,Basketball Courts,
47,2,Tennis Courts,
47,1,Ball Hockey,
51,1,Field Houses,
51,2,Tennis Courts,
51,1,Basketball Courts,
51,1,Water/Spray Parks,
51,1,Ball Hockey,
51,1,Soccer Fields,
52,1,Playgrounds,
52,1,Field Houses,
52,1,Water/Spray Parks,
54,1,Playgrounds,
54,2,Tennis Courts,
54,1,Soccer Fields,
56,1,Playgrounds,
57,1,Field Houses,
57,1,Playgrounds,
57,4,Tennis Courts,
57,2,Basketball Courts,
57,1,Wading Pool,
60,1,Playgrounds,
60,1,Swimming Pools,
60,1,Soccer Fields,
60,1,Softball,
60,1,Running Tracks,
62,1,Playgrounds,
63,1,Playgrounds,
64,2,Soccer Fields,
64,1,Playgrounds,
64,1,Wading Pool,
64,2,Softball,
65,1,Field Houses,
65,2,Football Fields,
65,3,Soccer Fields,
67,1,Playgrounds,
67,1,Field Houses,
67,2,Tennis Courts,
67,1,Wading Pool,
68,1,Playgrounds,
70,1,Playgrounds,
70,3,Soccer Fields,
70,1,Baseball Diamonds,
70,1,Lighted Fields,
70,1,Wading Pool,
71,1,Dogs Off-Leash Areas,
72,1,Skateboard Parks,
72,1,Basketball Courts,
72,2,Softball,
72,2,Soccer Fields,
73,1,Community Centres,
73,1,Basketball Courts,
73,1,Baseball Diamonds,
73,1,Field Houses,
73,2,Playgrounds,
73,2,Tennis Courts,
73,1,Water/Spray Parks,
74,1,Playgrounds,
74,2,Tennis Courts,
75,1,Dogs Off-Leash Areas,
75,1,Field Houses,
75,1,Picnic Sites,
75,2,Playgrounds,
75,4,Tennis Courts,
75,1,Swimming Pools,
75,1,Soccer Fields,
75,1,Food Concessions,
76,1,Field Houses,
76,1,Football Fields,
76,1,Golf Courses,
76,1,Playgrounds,
76,4,Tennis Courts,
76,1,Rugby Fields,
76,1,Softball,
76,1,Soccer Fields,
77,1,Baseball Diamonds,
77,1,Community Halls,
77,1,Field Houses,
77,1,Playgrounds,
77,1,Soccer Fields,
77,1,Wading Pool,
77,1,Dogs Off-Leash Areas,
78,1,Playgrounds,
79,1,Playgrounds,
79,1,Field Houses,
79,2,Tennis Courts,
79,1,Basketball Courts,
79,1,Wading Pool,
79,1,Soccer Fields,
79,1,Ball Hockey,
80,2,Playgrounds,
80,2,Basketball Courts,
80,1,Ball Hockey,
81,2,Playgrounds,
81,1,Softball,
81,1,Soccer Fields,
81,4,Tennis Courts,
81,1,Basketball Courts,
81,1,Water/Spray Parks,
81,1,Ball Hockey,
82,1,Playgrounds,
82,1,Ultimate Fields,
82,1,Ball Hockey,
83,1,Playgrounds,
83,1,Basketball Courts,
84,2,Bowling Greens,
84,2,Tennis Courts,
84,1,Playgrounds,
84,1,Basketball Courts,
84,1,Wading Pool,
84,1,Ball Hockey,
85,2,Baseball Diamonds,
85,1,Community Centres,
85,2,Playgrounds,
85,2,Soccer Fields,
85,3,Tennis Courts,
85,1,Field Houses,
85,1,Lighted Fields,
85,1,Rinks,
85,2,Softball,
85,1,Basketball Courts,
85,1,Picnic Sites,
85,1,Jogging Trails,
85,1,Rugby Fields,
85,1,Dogs Off-Leash Areas,
85,1,Food Concessions,
85,1,Ball Hockey,
86,1,Field Houses,
86,1,Soccer Fields,
86,1,Playgrounds,
86,1,Dogs Off-Leash Areas,
87,1,Community Centres,
87,1,Playgrounds,
87,2,Soccer Fields,
87,1,Community Halls,
87,4,Softball,
87,1,Swimming Pools,
87,1,Skateboard Parks,
88,1,Playgrounds,
88,1,Dogs Off-Leash Areas,
88,1,Ultimate Fields,
88,1,Basketball Courts,
89,1,Playgrounds,
90,1,Soccer Fields,
91,1,Baseball Diamonds,
91,1,Field Houses,
91,2,Tennis Courts,
91,1,Bowling Greens,
91,1,Soccer Fields,
92,1,Picnic Sites,
92,1,Dogs Off-Leash Areas,
93,1,Community Centres,
93,1,Swimming Pools,
93,1,Playgrounds,
96,1,Field Houses,
96,1,Soccer Fields,
96,1,Picnic Sites,
96,1,Playgrounds,
96,1,Wading Pool,
98,1,Golf Courses,
98,1,Restaurants,
99,2,Tennis Courts,
100,1,Community Centres,
100,2,Softball,
100,4,Playgrounds,
100,1,Soccer Fields,
100,4,Tennis Courts,
101,1,Dogs Off-Leash Areas,
102,1,Golf Courses,
102,1,Jogging Trails,
102,1,Dogs Off-Leash Areas,
102,1,Restaurants,
103,3,Baseball Diamonds,
103,1,Community Halls,
103,2,Playgrounds,
103,1,Community Centres,
103,2,Lighted Fields,
103,1,Rinks,
103,3,Soccer Fields,
103,1,Swimming Pools,
103,1,Field Houses,
103,1,Running Tracks,
103,1,Dogs Off-Leash Areas,
103,1,Wading Pool,
103,1,Softball,
103,1,Ultimate Fields,
105,1,Dogs Off-Leash Areas,
105,1,Soccer Fields,
106,1,Playgrounds,
106,2,Tennis Courts,
108,1,Community Centres,
108,1,Field Houses,
108,1,Lighted Fields,
108,1,Rinks,
108,1,Soccer Fields,
108,4,Softball,
108,1,Cricket Pitches,
108,1,Playgrounds,
108,2,Rugby Fields,
108,1,Water/Spray Parks,
109,1,Playgrounds,
110,1,Dogs Off-Leash Areas,
112,1,Water/Spray Parks,
112,1,Playgrounds,
112,10,Tennis Courts,
112,2,Basketball Courts,
112,1,Swimming Pools,
112,1,Beaches,
112,1,Restaurants,
112,1,Food Concessions,
114,1,Field Houses,
114,1,Soccer Fields,
114,4,Tennis Courts,
114,1,Playgrounds,
114,2,Softball,
119,1,Field Houses,
119,1,Playgrounds,
119,3,Tennis Courts,
122,1,Playgrounds,
123,4,Tennis Courts,
124,1,Playgrounds,
126,2,Baseball Diamonds,
126,1,Community Centres,
126,1,Field Houses,
126,1,Lighted Fields,
126,1,Playgrounds,
126,3,Soccer Fields,
126,2,Softball,
126,2,Tennis Courts,
126,1,Basketball Courts,
126,1,Water/Spray Parks,
126,1,Outdoor Roller Hockey Rinks,
126,1,Ball Hockey,
127,1,Playgrounds,
128,1,Field Houses,
128,1,Soccer Fields,
128,1,Softball,
130,1,Playgrounds,
130,1,Basketball Courts,
131,1,Field Houses,
131,1,Playgrounds,
131,1,Softball,
131,1,Football Fields,
131,1,Rugby Fields,
131,3,Ultimate Fields,
133,1,Soccer Fields,
133,1,Jogging Trails,
133,1,Playgrounds,
133,2,Softball,
134,1,Skateboard Parks,
136,2,Tennis Courts,
136,1,Playgrounds,
137,1,Playgrounds,
137,1,Softball,
137,1,Field Houses,
137,1,Soccer Fields,
138,1,Playgrounds,
139,1,Playgrounds,
139,1,Skateboard Parks,
140,1,Field Houses,
140,1,Playgrounds,
140,1,Soccer Fields,
140,3,Tennis Courts,
140,2,Basketball Courts,
140,1,Wading Pool,
140,1,Ball Hockey,
141,1,Playgrounds,
143,1,Field Houses,
143,1,Playgrounds,
143,2,Softball,
143,1,Wading Pool,
143,2,Ultimate Fields,
145,1,Golf Courses,
145,4,Tennis Courts,
145,1,Playgrounds,
145,1,Jogging Trails,
145,1,Restaurants,
146,1,Field Houses,
146,1,Playgrounds,
146,3,Softball,
146,2,Soccer Fields,
147,1,Football Fields,
147,1,Softball,
147,2,Ultimate Fields,
148,1,Playgrounds,
148,1,Softball,
148,1,Field Houses,
148,1,Lighted Fields,
148,3,Soccer Fields,
148,1,Baseball Diamonds,
148,1,Field Hockey,
149,1,Playgrounds,
150,1,Playgrounds,
151,1,Playgrounds,
151,1,Softball,
151,1,Field Houses,
151,1,Soccer Fields,
151,1,Basketball Courts,
151,1,Wading Pool,
152,1,Playgrounds,
152,1,Softball,
152,1,Soccer Fields,
152,1,Jogging Trails,
153,2,Baseball Diamonds,
153,2,Playgrounds,
153,1,Community Halls,
153,1,Football Fields,
153,1,Field Houses,
153,1,Dogs Off-Leash Areas,
153,1,Wading Pool,
153,1,Soccer Fields,
154,1,Playgrounds,
155,1,Soccer Fields,
155,1,Basketball Courts,
155,1,Softball,
156,2,Tennis Courts,
156,1,Basketball Courts,
157,1,Field Houses,
157,1,Playgrounds,
157,1,Soccer Fields,
157,2,Softball,
157,1,Water/Spray Parks,
158,1,Playgrounds,
159,1,Community Centres,
159,1,Field Houses,
159,1,Lacrosse Boxes,
159,1,Lighted Fields,
159,1,Playgrounds,
159,1,Swimming Pools,
159,1,Softball,
159,1,Football Fields,
159,1,Wading Pool,
159,1,Ball Hockey,
161,1,Field Houses,
161,1,Playgrounds,
161,1,Soccer Fields,
161,4,Tennis Courts,
161,1,Wading Pool,
161,1,Ultimate Fields,
162,1,Playgrounds,
164,1,Field Houses,
164,1,Playgrounds,
164,3,Soccer Fields,
164,4,Baseball Diamonds,
164,1,Rinks,
164,1,Jogging Trails,
164,1,Swimming Pools,
165,1,Baseball Diamonds,
165,1,Lighted Fields,
165,1,Dogs Off-Leash Areas,
166,1,Field Houses,
166,1,Playgrounds,
166,1,Water/Spray Parks,
166,1,Soccer Fields,
167,1,Bowling Greens,
167,1,Field Houses,
167,1,Golf Courses,
167,17,Tennis Courts,
167,4,Basketball Courts,
167,1,Disc Golf Courses,
167,2,Outdoor Roller Hockey Rinks,
167,1,Dogs Off-Leash Areas,
167,2,Ball Hockey,
167,1,Restaurants,
168,1,Baseball Diamonds,
168,2,Playgrounds,
168,1,Field Houses,
168,1,Community Centres,
168,1,Soccer Fields,
168,1,Wading Pool,
168,1,Basketball Courts,
171,2,Baseball Diamonds,
171,1,Rinks,
171,2,Soccer Fields,
171,1,Field Hockey,
171,1,Rinks,
171,1,Running Tracks,
171,1,Ultimate Fields,
173,1,Restaurants,
174,1,Field Houses,
174,1,Rugby Fields,
174,1,Lighted Fields,
174,1,Softball,
175,2,Cricket Pitches,
175,4,Softball,
175,1,Community Centres,
175,2,Playgrounds,
175,3,Soccer Fields,
175,1,Basketball Courts,
175,1,Wading Pool,
175,1,Jogging Trails,
177,1,Playgrounds,
177,4,Tennis Courts,
177,1,Lighted Fields,
179,1,Playgrounds,
179,1,Field Houses,
179,1,Water/Spray Parks,
179,1,Softball,
180,1,Picnic Sites,
180,1,Field Houses,
180,1,Playgrounds,
181,1,Skateboard Parks,
181,1,Baseball Diamonds,
181,1,Field Houses,
181,1,Playgrounds,
181,4,Soccer Fields,
181,2,Softball,
181,4,Tennis Courts,
181,1,Basketball Courts,
181,1,Running Tracks,
181,1,Dogs Off-Leash Areas,
182,1,Playgrounds,
184,1,Playgrounds,
184,1,Dogs Off-Leash Areas,
184,1,Ultimate Fields,
185,3,Tennis Courts,
185,1,Playgrounds,
186,1,Wading Pool,
186,1,Baseball Diamonds,
186,1,Cricket Pitches,
186,2,Field Houses,
186,1,Lacrosse Boxes,
186,1,Lighted Fields,
186,1,Playgrounds,
186,4,Soccer Fields,
186,2,Softball,
186,4,Tennis Courts,
186,1,Picnic Sites,
186,1,Running Tracks,
186,1,Ball Hockey,
186,1,Field Hockey,
186,1,Ultimate Fields,
187,1,Community Halls,
187,1,Field Houses,
187,1,Playgrounds,
187,2,Soccer Fields,
187,4,Tennis Courts,
188,1,Field Houses,
188,1,Football Fields,
188,1,Playgrounds,
188,1,Soccer Fields,
188,1,Wading Pool,
188,1,Softball,
189,1,Community Centres,
189,1,Playgrounds,
189,1,Rinks,
189,1,Soccer Fields,
189,1,Dogs Off-Leash Areas,
191,1,Playgrounds,
191,4,Softball,
191,1,Field Houses,
191,2,Soccer Fields,
191,1,Wading Pool,
192,1,Playgrounds,
192,1,Soccer Fields,
194,1,Field Houses,
194,2,Rugby Fields,
194,4,Softball,
194,1,Football Fields,
194,2,Baseball Diamonds,
194,1,Soccer Fields,
195,2,Tennis Courts,
195,1,Playgrounds,
195,1,Basketball Courts,
196,3,Baseball Diamonds,
196,1,Field Houses,
196,1,Playgrounds,
196,1,Wading Pool,
196,1,Ultimate Fields,
197,1,Picnic Sites,
197,2,Playgrounds,
197,2,Tennis Courts,
197,1,Basketball Courts,
197,1,Ultimate Fields,
198,1,Playgrounds,
198,1,Dogs Off-Leash Areas,
201,1,Beaches,
203,1,Dogs Off-Leash Areas,
203,1,Playgrounds,
206,1,Picnic Sites,
206,1,Dogs Off-Leash Areas,
206,1,Golf Courses,
206,2,Bowling Greens,
206,2,Cricket Pitches,
206,3,Field Houses,
206,1,Lighted Fields,
206,1,Picnic Sites,
206,4,Playgrounds,
206,1,Swimming Pools,
206,2,Rugby Fields,
206,2,Softball,
206,21,Tennis Courts,
206,1,Picnic Sites,
206,1,Picnic Sites,
206,1,Water/Spray Parks,
206,1,Running Tracks,
206,3,Jogging Trails,
206,4,Restaurants,
206,7,Food Concessions,
207,1,Field Houses,
207,1,Outdoor Roller Hockey Rinks,
207,1,Beaches,
207,1,Dogs Off-Leash Areas,
207,1,Food Concessions,
207,1,Ball Hockey,
217,1,Playgrounds,
218,1,Picnic Sites,
218,3,Soccer Fields,
218,1,Softball,
218,1,Rugby Fields,
218,4,Tennis Courts,
218,1,Beaches,
218,1,Baseball Diamonds,
218,1,Field Hockey,
218,1,Ultimate Fields,
218,1,Food Concessions,
219,1,Picnic Sites,
219,1,Playgrounds,
219,1,Beaches,
219,1,Dogs Off-Leash Areas,
219,1,Food Concessions,
220,1,Beaches,
220,1,Dogs Off-Leash Areas,
220,2,Food Concessions,
221,1,Baseball Diamonds,
221,2,Bowling Greens,
221,1,Field Houses,
221,1,Playgrounds,
221,2,Soccer Fields,
221,4,Tennis Courts,
221,2,Basketball Courts,
221,1,Wading Pool,
222,1,Playgrounds,
224,1,Playgrounds,
228,1,Field Hockey,
228,1,Dogs Off-Leash Areas,
228,1,Jogging Trails,
228,1,Soccer Fields,
228,2,Ultimate Fields,
234,1,Playgrounds,
235,1,Water/Spray Parks,
236,1,Playgrounds,
240,1,Playgrounds,
240,1,Dogs Off-Leash Areas,
245,2,Soccer Fields,
245,2,Field Hockey,
245,1,Ultimate Fields,
